Category,File Name,Description,Lines of Code
Week 1 - Day 1-2,fundamentals.js,"JavaScript fundamentals: variables, functions, arrays, objects, classes",350+
Week 1 - Day 3,algorithms.js,"Algorithms: Fibonacci, palindrome, linear/binary search, merge sort, Big O analysis",400+
Week 1 - Day 3,performance-report.md,Comprehensive performance analysis report for all algorithms,300+
Week 1 - Day 4,data-structures.js,"Data structures: Stack, Queue, Binary Search Tree with recursion",450+
Week 1 - Day 5,weather-dashboard.html,Weather dashboard HTML structure,70+
Week 1 - Day 5,weather-dashboard.css,Weather dashboard styling with modern CSS,250+
Week 1 - Day 5,weather-dashboard.js,Async JavaScript with fetch API and error handling,300+
Week 2 - Models,User.java,"User model with OOP principles, encapsulation, annotations",150+
Week 2 - Models,Task.java,"Task model with enums, business logic, validation",220+
Week 2 - DAO,UserDAO.java,User Data Access Object with full CRUD operations using JDBC,200+
Week 2 - DAO,TaskDAO.java,Task Data Access Object with advanced queries and filters,250+
Week 2 - Resources,UserResource.java,User REST API endpoints with error handling,200+
Week 2 - Resources,TaskResource.java,Task REST API endpoints with query parameters,180+
Week 2 - Main,TaskManagerApplication.java,Main application class with Dropwizard setup and CORS,80+
Week 2 - Config,TaskManagerConfiguration.java,Configuration class for Dropwizard,40+
Week 2 - Maven,pom.xml,Maven project configuration with all dependencies,100+
Week 2 - Database,schema.sql,Complete database schema with sample data,120+
Week 2 - Config,config.yml,Dropwizard YAML configuration for server and database,40+
Week 2 - Frontend,final-index.html,Complete task manager HTML with forms and task display,80+
Week 2 - Frontend,final-style.css,Professional styling with responsive design,350+
Week 2 - Frontend,final-app.js,Full frontend-backend integration with fetch API,400+
Documentation,README.md,Comprehensive project documentation with setup instructions,700+
Setup,.gitignore,"Git ignore file for Java, Maven, and IDE files",60+
Setup,install-windows.bat,Windows installation script,60+
Setup,install-unix.sh,Unix/Linux/Mac installation script,60+
